VisitID,PropertyID,ClientID,AgentID,VisitDate
1,399,1494,61,9/14/2024
2,903,268,37,12/30/2024
3,879,534,78,6/8/2024
4,437,996,57,9/1/2024
5,543,1242,9,11/7/2024
6,376,404,88,2/5/2025
7,428,1403,9,12/12/2024
8,531,363,65,1/25/2025
9,699,563,39,6/28/2024
10,113,62,92,3/11/2025
11,372,988,57,6/2/2024
12,123,265,36,8/5/2024
13,760,1357,1,2/11/2025
14,481,1072,39,7/28/2024
15,478,1430,44,6/28/2024
16,768,324,7,1/2/2025
17,733,614,83,3/30/2025
18,344,41,92,7/29/2024
19,581,997,74,8/27/2024
20,762,436,13,5/27/2024
21,107,877,56,10/27/2024
22,484,754,8,10/19/2024
23,9,1353,76,8/23/2024
24,143,997,97,12/11/2024
25,704,439,24,5/22/2024
26,461,360,90,9/30/2024
27,425,1147,36,9/25/2024
28,500,660,74,11/7/2024
29,851,1497,82,11/9/2024
30,796,1252,76,6/10/2024
31,467,403,4,9/24/2024
32,822,985,23,8/4/2024
33,235,1446,62,3/26/2025
34,697,245,75,10/24/2024
35,879,117,13,4/14/2025
36,398,108,16,8/23/2024
37,390,192,68,4/23/2025
38,907,1420,16,11/28/2024
39,652,172,83,1/1/2025
40,509,1109,87,6/10/2024
41,426,985,24,11/11/2024
42,622,403,99,7/13/2024
43,921,726,3,6/20/2024
44,833,1412,34,3/29/2025
45,382,562,4,5/11/2025
46,747,50,55,8/30/2024
47,832,1212,57,5/30/2024
48,977,856,71,1/9/2025
49,926,47,97,8/23/2024
50,891,220,58,11/18/2024
51,356,1249,51,2/21/2025
52,580,1340,44,7/30/2024
53,429,4,87,12/2/2024
54,411,119,35,7/22/2024
55,593,1244,21,6/20/2024
56,807,914,73,12/19/2024
57,484,808,78,3/29/2025
58,453,1497,20,1/28/2025
59,518,585,14,6/5/2024
60,392,446,46,7/30/2024
61,357,709,6,11/11/2024
62,605,470,30,5/19/2024
63,570,97,76,10/8/2024
64,546,292,84,9/17/2024
65,686,717,37,1/4/2025
66,670,596,75,5/3/2025
67,889,205,42,8/24/2024
68,315,1333,30,9/24/2024
69,383,105,59,1/16/2025
70,548,162,46,7/23/2024
71,909,804,5,12/26/2024
72,470,253,48,1/1/2025
73,608,1290,95,3/11/2025
74,758,1324,56,6/13/2024
75,302,388,55,12/18/2024
76,155,1270,88,11/1/2024
77,578,956,36,9/10/2024
78,122,1043,66,7/22/2024
79,938,1479,24,3/21/2025
80,774,884,95,4/8/2025
81,872,619,45,3/21/2025
82,687,1369,40,11/21/2024
83,535,1100,13,6/27/2024
84,611,1454,99,1/19/2025
85,463,283,23,11/3/2024
86,510,531,87,2/4/2025
87,347,432,90,4/28/2025
88,202,954,11,8/25/2024
89,349,713,37,8/5/2024
90,607,1170,45,12/7/2024
91,960,401,46,8/9/2024
92,480,690,34,9/21/2024
93,423,1146,22,1/16/2025
94,745,1287,24,7/8/2024
95,765,795,13,12/22/2024
96,876,1145,71,11/18/2024
97,268,1353,42,8/4/2024
98,782,1101,75,3/4/2025
99,583,1427,46,2/27/2025
100,889,1263,44,6/8/2024
101,348,682,45,2/5/2025
102,515,148,37,8/28/2024
103,557,577,53,9/20/2024
104,155,1341,25,8/23/2024
105,722,639,79,12/17/2024
106,143,546,84,10/1/2024
107,745,1405,3,12/5/2024
108,613,569,15,11/13/2024
109,73,320,9,1/31/2025
110,408,560,99,3/1/2025
111,450,447,7,3/27/2025
112,114,212,100,6/13/2024
113,719,1340,68,4/4/2025
114,950,1366,75,8/27/2024
115,876,865,85,1/13/2025
116,123,1143,27,8/6/2024
117,685,1413,32,5/20/2024
118,19,1299,79,5/30/2024
119,77,744,20,12/25/2024
120,652,969,97,2/5/2025
121,672,334,62,1/17/2025
122,495,49,41,10/21/2024
123,988,890,69,11/11/2024
124,96,65,24,5/12/2024
125,6,408,68,7/22/2024
126,544,462,55,7/16/2024
127,234,761,57,9/7/2024
128,604,1171,17,3/31/2025
129,440,1470,73,6/10/2024
130,997,772,86,5/13/2024
131,314,347,86,3/7/2025
132,776,954,53,5/24/2024
133,385,548,66,11/29/2024
134,196,783,27,3/4/2025
135,74,916,19,5/12/2024
136,770,395,57,4/23/2025
137,533,1368,59,12/24/2024
138,851,176,59,2/4/2025
139,286,735,38,11/11/2024
140,706,1002,53,8/6/2024
141,141,833,84,4/3/2025
142,298,1458,23,5/1/2025
143,821,1220,28,4/29/2025
144,92,6,67,11/11/2024
145,922,1244,56,10/27/2024
146,846,939,72,1/25/2025
147,848,105,78,6/9/2024
148,36,55,10,6/23/2024
149,606,61,75,5/23/2024
150,813,515,58,11/29/2024
151,491,1210,67,9/5/2024
152,363,266,16,9/12/2024
153,356,871,74,5/26/2024
